host_name,review_scores_rating
Emmanouil,4.87
Emmanouil,4.83
Emmanouil,4.85
Emmanouil,4.83
Emmanouil,4.84
Emmanouil,4.89
Emmanouil,4.53
Emmanouil,4.88
Emmanouil,4.72
Emmanouil,4.69
Emmanouil,4.73
Emmanouil,4.77
Emmanouil,5.0
Emmanouil,4.67
Emmanouil,4.58
Emmanouil,4.65
Emmanouil,4.95
Emmanouil,5.0
Emmanouil,4.25
Emmanouil,5.0
D & Y Boutique Athens,4.8
D & Y Boutique Athens,4.89
D & Y Boutique Athens,4.65
D & Y Boutique Athens,4.84
D & Y Boutique Athens,4.82
D & Y Boutique Athens,4.74
D & Y Boutique Athens,4.97
D & Y Boutique Athens,4.63
D & Y Boutique Athens,4.9
D & Y Boutique Athens,4.83
D & Y Boutique Athens,4.84
D & Y Boutique Athens,4.72
D & Y Boutique Athens,4.76
D & Y Boutique Athens,4.93
D & Y Boutique Athens,4.85
D & Y Boutique Athens,4.86
D & Y Boutique Athens,4.73
D & Y Boutique Athens,4.43
D & Y Boutique Athens,4.79
D & Y Boutique Athens,4.84
D & Y Boutique Athens,4.58
D & Y Boutique Athens,4.91
D & Y Boutique Athens,5.0
D & Y Boutique Athens,4.91
D & Y Boutique Athens,4.85
D & Y Boutique Athens,4.89
D & Y Boutique Athens,4.72
D & Y Boutique Athens,4.71
D & Y Boutique Athens,4.81
D & Y Boutique Athens,4.77
D & Y Boutique Athens,4.8
D & Y Boutique Athens,4.48
D & Y Boutique Athens,4.79
D & Y Boutique Athens,4.75
D & Y Boutique Athens,4.82
D & Y Boutique Athens,5.0
D & Y Boutique Athens,4.67
D & Y Boutique Athens,4.9
D & Y Boutique Athens,4.87
